mass,formula,frac_abundance
12,C,8.67E-03
13.00335979,j13C,9.38E-05
13.00782013,CH,3.56E-03
14.00306988,N,0.00E+00
14.01117992,j13CH,3.85E-05
15.00010967,j15N,0.00E+00
15.01089954,NH,0.00E+00
15.02346992,CH3,2.61E-02
15.99491978,O,7.76E-04
16.00793076,j15NH,0.00E+00
16.01872063,NH2,0.00E+00
16.02683067,j13CH3,2.82E-04
16.03129959,CH4,-1.47E-04
17.00274086,HO,4.85E-03
17.01576042,j15NH2,0.00E+00
17.02655029,NH3,0.00E+00
17.0346508,j13CH4,-1.59E-06
17.99916077,j18O,1.59E-06
18.01055908,H2O,1.94E-02
18.02358055,j15NH3,0.00E+00
18.99839973,F,0.00E+00
19.0069809,Hj18O,9.97E-06
19.01683998,j2HHO,0.00E+00
19.01839066,H3O,0.00E+00
19.98118973,Arplus2,0.00E+00
20.0062294,HF,0.00E+00
20.01481056,H2j18O,3.99E-05
20.02466965,j2HH2O,0.00E+00
21.00527954,C2H2Oplus2,7.52E-05
21.02264023,H3j18O,0.00E+00
21.99492073,CO2plus2,2.62E-04
22.98977089,Na,0.00E+00
23.98348999,SOplus2,0.00E+00
24,C2,8.86E-04
25.00336075,j13CC,1.92E-05
25.00782967,C2H,3.34E-03
26.00307083,CN,4.25E-04
26.01118088,j13CCH,7.22E-05
26.0156498,C2H2,1.64E-02
27.00011063,Cj15N,1.55E-06
27.00642967,j13CN,4.60E-06
27.0109005,CHN,8.67E-04
27.0189991,j13CCH2,3.54E-04
27.02347946,C2H3,4.58E-02
27.99492073,CO,8.62E-02
28.00614929,N2,0.00E+00
28.0142498,j13CHN,9.38E-06
28.02683067,j13CCH3,9.92E-04
28.99827003,j13CO,9.32E-04
29.00274086,CHO,3.59E-02
29.00317955,j15NN,0.00E+00
29.03912926,C2H5,1.22E-02
29.99798965,NO,0.00E+00
29.99916077,Cj18O,1.77E-04
30.00609016,j13CHO,3.88E-04
30.01055908,CH2O,7.35E-03
30.03437042,CH4N,2.89E-05
30.04248047,j13CCH5,2.63E-04
30.04694939,C2H6,1.38E-04
30.99501991,j15NO,0.00E+00
30.99839973,CF,1.48E-03
31.0069809,CHj18O,7.37E-05
31.01391983,j13CH2O,7.95E-05
31.01839066,CH3O,6.34E-03
31.03141022,CH4j15N,1.05E-07
31.03772926,j13CH4N,3.12E-07
31.0503006,j13CCH6,2.98E-06
31.97207069,S,0.00E+00
31.98983002,O2,0.00E+00
32.00175858,j13CF,1.61E-05
32.00223923,Nj18O,0.00E+00
32.01480865,CH2j18O,1.51E-05
32.02174377,j13CH3O,6.86E-05
32.97145844,j33S,0.00E+00
32.97990036,HS,0.00E+00
32.99404907,j17OO,0.00E+00
33.01404953,CH2F,4.15E-05
33.02146912,H3NO,0.00E+00
33.02264023,CH3j18O,1.30E-05
33.96786118,j34S,0.00E+00
33.97927856,Hj33S,0.00E+00
33.98772049,H2S,0.00E+00
33.99407959,j18OO,0.00E+00
34.01740646,j13CH2F,4.49E-07
34.01850128,H3j15NO,0.00E+00
34.96884918,Cl,0.00E+00
34.97568893,Hj34S,0.00E+00
34.99554062,H3S,0.00E+00
35.02571106,H3Nj18O,0.00E+00
35.96707916,j36S,0.00E+00
35.97668076,HCl,0.00E+00
35.98352051,H2j34S,0.00E+00
36,C3,7.72E-04
36.96590042,j37Cl,0.00E+00
36.99134064,H3j34S,0.00E+00
37.0033493,j13CC2,2.50E-05
37.00782013,C3H,5.63E-03
37.97372818,Hj37Cl,0.00E+00
38.01118088,j13CC2H,1.83E-04
38.0156517,C3H2,1.03E-02
38.96371078,K,0.00E+00
39.01900101,j13CC2H2,3.35E-04
39.02347946,C3H3,5.87E-02
